"산업별","산업별 지수","제조업"
"","가동률지수(원지수)","91.8"
"","가동률지수(계절조정)","97.2"
"2023.03","생산능력지수","101"
"","가동률지수(원지수)","106.3"
"","가동률지수(계절조정)","101.8"
"2023.04","생산능력지수","100.6"
"","가동률지수(원지수)","99.4"
"","가동률지수(계절조정)","100.1"
"2023.05","생산능력지수","101"
"","가동률지수(원지수)","103.7"
"","가동률지수(계절조정)","103.3"
"2023.06","생산능력지수","101.3"
"","가동률지수(원지수)","104.4"
"","가동률지수(계절조정)","101.2"
"2023.07","생산능력지수","101.1"
"","가동률지수(원지수)","98.8"
"","가동률지수(계절조정)","99.2"
"2023.08","생산능력지수","101.1"
"","가동률지수(원지수)","100.4"
"","가동률지수(계절조정)","102.7"
"2023.09","생산능력지수","102.3"
"","가동률지수(원지수)","102.7"
"","가동률지수(계절조정)","104"
"2023.10","생산능력지수","102.4"
"","가동률지수(원지수)","102.5"
"","가동률지수(계절조정)","102.9"
"2023.11","생산능력지수","102.4"
"","가동률지수(원지수)","106.7"
"","가동률지수(계절조정)","102.9"
"2023.12","생산능력지수","103.4"
"","가동률지수(원지수)","104.7"
"","가동률지수(계절조정)","100.9"
"2024.01","생산능력지수","102"
"","가동률지수(원지수)","101"
"","가동률지수(계절조정)","101.7"
"2024.02","생산능력지수","101.8"
"","가동률지수(원지수)","92.2"
"","가동률지수(계절조정)","103.4"
"2024.03","생산능력지수","102.3"
"","가동률지수(원지수)","103.3"
"","가동률지수(계절조정)","100.5"
"2024.04","생산능력지수","101.9"
"","가동률지수(원지수)","103.4"
"","가동률지수(계절조정)","103.6"
"2024.05","생산능력지수","101.9"
"","가동률지수(원지수)","104.9"
"","가동률지수(계절조정)","102.5"
"2024.06","생산능력지수","101.9"
"","가동률지수(원지수)","104.7"
"","가동률지수(계절조정)","103.3"
"2024.07","생산능력지수","101.8"
"","가동률지수(원지수)","100.8"
"","가동률지수(계절조정)","99.6"
"2024.08","생산능력지수","102"
"","가동률지수(원지수)","100.7"
"","가동률지수(계절조정)","103.4"
"2024.09","생산능력지수","101.9"
"","가동률지수(원지수)","98.7"
"","가동률지수(계절조정)","103"
"2024.10","생산능력지수","103.1"
"","가동률지수(원지수)","104.9"
"","가동률지수(계절조정)","102.8"
"2024.11","생산능력지수","103"
"","가동률지수(원지수)","103.8"
"","가동률지수(계절조정)","100"
"2024.12","생산능력지수","103.7"
"","가동률지수(원지수)","106.7"
"","가동률지수(계절조정)","103"
"2025.01","생산능력지수","102.8"
"","가동률지수(원지수)","93.3"
"","가동률지수(계절조정)","103.2"
"2025.02","생산능력지수","102.5"
"","가동률지수(원지수)","96.6"
"","가동률지수(계절조정)","102.2"
"2025.03","생산능력지수","102.8"
"2025.03","가동률지수(원지수)","105.6"
"2025.03","가동률지수(계절조정)","104.8"
"2025.04","생산능력지수","102.8"
"2025.04","가동률지수(원지수)","105.6"
"2025.04","가동률지수(계절조정)","103.8"
