"산업별","산업별 지수","제조업"
"","가동률지수(계절조정)","116.36"
"2006.11","생산능력지수","70.423"
"","가동률지수(원지수)","120.656"
"","가동률지수(계절조정)","116.041"
"2006.12","생산능력지수","70.623"
"","가동률지수(원지수)","111.099"
"","가동률지수(계절조정)","111.45"
"2007.01","생산능력지수","71.355"
"","가동률지수(원지수)","112.222"
"","가동률지수(계절조정)","113.313"
"2007.02","생산능력지수","71.554"
"","가동률지수(원지수)","99.178"
"","가동률지수(계절조정)","112.724"
"2007.03","생산능력지수","71.688"
"","가동률지수(원지수)","116.496"
"","가동률지수(계절조정)","112.239"
"2007.04","생산능력지수","71.821"
"","가동률지수(원지수)","114.133"
"","가동률지수(계절조정)","113.032"
"2007.05","생산능력지수","72.021"
"","가동률지수(원지수)","116.833"
"","가동률지수(계절조정)","112.892"
"2007.06","생산능력지수","72.487"
"","가동률지수(원지수)","115.259"
"","가동률지수(계절조정)","111.253"
"2007.07","생산능력지수","73.019"
"","가동률지수(원지수)","110.536"
"","가동률지수(계절조정)","109.387"
"2007.08","생산능력지수","73.352"
"","가동률지수(원지수)","108.623"
"","가동률지수(계절조정)","112.161"
"2007.09","생산능력지수","73.752"
"","가동률지수(원지수)","105.475"
"","가동률지수(계절조정)","110.508"
"2007.10","생산능력지수","74.75"
"","가동률지수(원지수)","123.018"
"","가동률지수(계절조정)","116.815"
"2007.11","생산능력지수","74.884"
"","가동률지수(원지수)","120.768"
"","가동률지수(계절조정)","116.287"
"2007.12","생산능력지수","75.216"
"","가동률지수(원지수)","112.11"
"","가동률지수(계절조정)","114.297"
"2008.01","생산능력지수","75.748"
"","가동률지수(원지수)","116.046"
"","가동률지수(계절조정)","117.294"
"2008.02","생산능력지수","75.748"
"","가동률지수(원지수)","100.64"
"","가동률지수(계절조정)","114.228"
"2008.03","생산능력지수","75.815"
"","가동률지수(원지수)","118.183"
"","가동률지수(계절조정)","115.823"
"2008.04","생산능력지수","76.081"
"","가동률지수(원지수)","117.732"
"","가동률지수(계절조정)","116.596"
"2008.05","생산능력지수","76.814"
"","가동률지수(원지수)","116.158"
"","가동률지수(계절조정)","112.242"
"2008.06","생산능력지수","77.013"
"","가동률지수(원지수)","113.796"
"","가동률지수(계절조정)","111.704"
"2008.07","생산능력지수","77.013"
"","가동률지수(원지수)","112.222"
