region,month,indicator,value
경기,2020-09-01,원자재가격현황,109.0
경남,2020-09-01,원자재가격현황,104.0
경북,2020-09-01,원자재가격현황,109.0
전남,2020-09-01,원자재가격현황,109.0
전북,2020-09-01,원자재가격현황,111.0
충남,2020-09-01,원자재가격현황,105.0
충북,2020-09-01,원자재가격현황,107.0
전국,2020-09-01,제품가격현황,98.0
서울,2020-09-01,제품가격현황,96.0
부산,2020-09-01,제품가격현황,97.0
대구,2020-09-01,제품가격현황,95.0
인천,2020-09-01,제품가격현황,93.0
광주,2020-09-01,제품가격현황,100.0
대전,2020-09-01,제품가격현황,100.0
울산,2020-09-01,제품가격현황,103.0
강원,2020-09-01,제품가격현황,93.0
경기,2020-09-01,제품가격현황,98.0
경남,2020-09-01,제품가격현황,97.0
경북,2020-09-01,제품가격현황,98.0
전남,2020-09-01,제품가격현황,99.0
전북,2020-09-01,제품가격현황,97.0
충남,2020-09-01,제품가격현황,100.0
충북,2020-09-01,제품가격현황,95.0
전국,2020-09-01,경상이익현황,81.0
서울,2020-09-01,경상이익현황,74.0
부산,2020-09-01,경상이익현황,77.0
대구,2020-09-01,경상이익현황,73.0
인천,2020-09-01,경상이익현황,77.0
광주,2020-09-01,경상이익현황,88.0
대전,2020-09-01,경상이익현황,81.0
울산,2020-09-01,경상이익현황,81.0
강원,2020-09-01,경상이익현황,83.0
경기,2020-09-01,경상이익현황,81.0
경남,2020-09-01,경상이익현황,81.0
경북,2020-09-01,경상이익현황,81.0
전남,2020-09-01,경상이익현황,78.0
전북,2020-09-01,경상이익현황,81.0
충남,2020-09-01,경상이익현황,89.0
충북,2020-09-01,경상이익현황,78.0
전국,2020-09-01,자금사정현황,81.0
서울,2020-09-01,자금사정현황,77.0
부산,2020-09-01,자금사정현황,74.0
대구,2020-09-01,자금사정현황,69.0
인천,2020-09-01,자금사정현황,75.0
광주,2020-09-01,자금사정현황,81.0
대전,2020-09-01,자금사정현황,89.0
울산,2020-09-01,자금사정현황,80.0
강원,2020-09-01,자금사정현황,79.0
경기,2020-09-01,자금사정현황,82.0
경남,2020-09-01,자금사정현황,81.0
경북,2020-09-01,자금사정현황,81.0
전남,2020-09-01,자금사정현황,80.0
전북,2020-09-01,자금사정현황,85.0
충남,2020-09-01,자금사정현황,86.0
충북,2020-09-01,자금사정현황,81.0
전국,2020-09-01,부가가치비중 (%),100.0
서울,2020-09-01,부가가치비중 (%),2.0
부산,2020-09-01,부가가치비중 (%),2.0
대구,2020-09-01,부가가치비중 (%),2.0
인천,2020-09-01,부가가치비중 (%),3.0
광주,2020-09-01,부가가치비중 (%),2.0
대전,2020-09-01,부가가치비중 (%),1.0
울산,2020-09-01,부가가치비중 (%),9.0
강원,2020-09-01,부가가치비중 (%),1.0
경기,2020-09-01,부가가치비중 (%),37.0
경남,2020-09-01,부가가치비중 (%),7.0
경북,2020-09-01,부가가치비중 (%),8.0
전남,2020-09-01,부가가치비중 (%),7.0
전북,2020-09-01,부가가치비중 (%),2.0
충남,2020-09-01,부가가치비중 (%),13.0
충북,2020-09-01,부가가치비중 (%),5.0
전국,2020-12-01,시황현황,91.0
서울,2020-12-01,시황현황,90.0
부산,2020-12-01,시황현황,89.0
대구,2020-12-01,시황현황,72.0
인천,2020-12-01,시황현황,88.0
광주,2020-12-01,시황현황,106.0
대전,2020-12-01,시황현황,102.0
울산,2020-12-01,시황현황,101.0
강원,2020-12-01,시황현황,109.0
경기,2020-12-01,시황현황,87.0
경남,2020-12-01,시황현황,90.0
경북,2020-12-01,시황현황,89.0
전남,2020-12-01,시황현황,94.0
전북,2020-12-01,시황현황,91.0
충남,2020-12-01,시황현황,97.0
충북,2020-12-01,시황현황,94.0
전국,2020-12-01,시황전망,89.0
서울,2020-12-01,시황전망,80.0
부산,2020-12-01,시황전망,89.0
대구,2020-12-01,시황전망,76.0
인천,2020-12-01,시황전망,89.0
광주,2020-12-01,시황전망,93.0
대전,2020-12-01,시황전망,91.0
울산,2020-12-01,시황전망,88.0
강원,2020-12-01,시황전망,100.0
경기,2020-12-01,시황전망,88.0
경남,2020-12-01,시황전망,87.0
경북,2020-12-01,시황전망,91.0
전남,2020-12-01,시황전망,84.0
전북,2020-12-01,시황전망,91.0
충남,2020-12-01,시황전망,94.0
충북,2020-12-01,시황전망,87.0
전국,2020-12-01,매출액현황,94.0
서울,2020-12-01,매출액현황,90.0
부산,2020-12-01,매출액현황,91.0
대구,2020-12-01,매출액현황,76.0
인천,2020-12-01,매출액현황,91.0
광주,2020-12-01,매출액현황,106.0
대전,2020-12-01,매출액현황,109.0
울산,2020-12-01,매출액현황,111.0
강원,2020-12-01,매출액현황,118.0
경기,2020-12-01,매출액현황,88.0
경남,2020-12-01,매출액현황,92.0
경북,2020-12-01,매출액현황,94.0
전남,2020-12-01,매출액현황,93.0
전북,2020-12-01,매출액현황,90.0
충남,2020-12-01,매출액현황,101.0
충북,2020-12-01,매출액현황,93.0
전국,2020-12-01,매출액전망,91.0
서울,2020-12-01,매출액전망,82.0
부산,2020-12-01,매출액전망,94.0
대구,2020-12-01,매출액전망,79.0
인천,2020-12-01,매출액전망,86.0
광주,2020-12-01,매출액전망,88.0
대전,2020-12-01,매출액전망,89.0
울산,2020-12-01,매출액전망,97.0
강원,2020-12-01,매출액전망,102.0
경기,2020-12-01,매출액전망,89.0
경남,2020-12-01,매출액전망,87.0
경북,2020-12-01,매출액전망,91.0
전남,2020-12-01,매출액전망,83.0
전북,2020-12-01,매출액전망,92.0
충남,2020-12-01,매출액전망,98.0
충북,2020-12-01,매출액전망,96.0
전국,2020-12-01,국내시장출하현황,93.0
서울,2020-12-01,국내시장출하현황,91.0
부산,2020-12-01,국내시장출하현황,92.0
대구,2020-12-01,국내시장출하현황,73.0
인천,2020-12-01,국내시장출하현황,91.0
광주,2020-12-01,국내시장출하현황,110.0
대전,2020-12-01,국내시장출하현황,102.0
울산,2020-12-01,국내시장출하현황,106.0
강원,2020-12-01,국내시장출하현황,112.0
경기,2020-12-01,국내시장출하현황,88.0
경남,2020-12-01,국내시장출하현황,89.0
경북,2020-12-01,국내시장출하현황,95.0
전남,2020-12-01,국내시장출하현황,93.0
전북,2020-12-01,국내시장출하현황,93.0
충남,2020-12-01,국내시장출하현황,100.0
충북,2020-12-01,국내시장출하현황,91.0
전국,2020-12-01,국내시장출하전망,91.0
서울,2020-12-01,국내시장출하전망,84.0
부산,2020-12-01,국내시장출하전망,94.0
대구,2020-12-01,국내시장출하전망,78.0
인천,2020-12-01,국내시장출하전망,85.0
광주,2020-12-01,국내시장출하전망,89.0
대전,2020-12-01,국내시장출하전망,89.0
울산,2020-12-01,국내시장출하전망,95.0
강원,2020-12-01,국내시장출하전망,100.0
경기,2020-12-01,국내시장출하전망,90.0
경남,2020-12-01,국내시장출하전망,87.0
경북,2020-12-01,국내시장출하전망,94.0
전남,2020-12-01,국내시장출하전망,85.0
전북,2020-12-01,국내시장출하전망,92.0
충남,2020-12-01,국내시장출하전망,97.0
충북,2020-12-01,국내시장출하전망,92.0
전국,2020-12-01,수출현황,95.0
서울,2020-12-01,수출현황,93.0
부산,2020-12-01,수출현황,90.0
대구,2020-12-01,수출현황,81.0
인천,2020-12-01,수출현황,97.0
광주,2020-12-01,수출현황,96.0
대전,2020-12-01,수출현황,104.0
울산,2020-12-01,수출현황,121.0
강원,2020-12-01,수출현황,105.0
경기,2020-12-01,수출현황,89.0
경남,2020-12-01,수출현황,95.0
경북,2020-12-01,수출현황,99.0
전남,2020-12-01,수출현황,98.0
전북,2020-12-01,수출현황,71.0
충남,2020-12-01,수출현황,91.0
충북,2020-12-01,수출현황,97.0
전국,2020-12-01,수출전망,91.0
서울,2020-12-01,수출전망,81.0
부산,2020-12-01,수출전망,95.0
대구,2020-12-01,수출전망,83.0
인천,2020-12-01,수출전망,98.0
광주,2020-12-01,수출전망,94.0
대전,2020-12-01,수출전망,83.0
울산,2020-12-01,수출전망,100.0
강원,2020-12-01,수출전망,107.0
경기,2020-12-01,수출전망,90.0
경남,2020-12-01,수출전망,88.0
경북,2020-12-01,수출전망,84.0
전남,2020-12-01,수출전망,79.0
전북,2020-12-01,수출전망,97.0
충남,2020-12-01,수출전망,93.0
충북,2020-12-01,수출전망,103.0
전국,2020-12-01,재고현황,101.0
서울,2020-12-01,재고현황,108.0
부산,2020-12-01,재고현황,100.0
대구,2020-12-01,재고현황,110.0
인천,2020-12-01,재고현황,105.0
광주,2020-12-01,재고현황,100.0
대전,2020-12-01,재고현황,100.0
울산,2020-12-01,재고현황,99.0
강원,2020-12-01,재고현황,97.0
경기,2020-12-01,재고현황,101.0
경남,2020-12-01,재고현황,102.0
경북,2020-12-01,재고현황,107.0
전남,2020-12-01,재고현황,101.0
전북,2020-12-01,재고현황,94.0
충남,2020-12-01,재고현황,97.0
충북,2020-12-01,재고현황,97.0
전국,2020-12-01,재고전망,100.0
서울,2020-12-01,재고전망,107.0
부산,2020-12-01,재고전망,100.0
대구,2020-12-01,재고전망,101.0
인천,2020-12-01,재고전망,98.0
광주,2020-12-01,재고전망,103.0
대전,2020-12-01,재고전망,98.0
울산,2020-12-01,재고전망,99.0
강원,2020-12-01,재고전망,100.0
경기,2020-12-01,재고전망,98.0
경남,2020-12-01,재고전망,99.0
경북,2020-12-01,재고전망,100.0
전남,2020-12-01,재고전망,106.0
전북,2020-12-01,재고전망,100.0
충남,2020-12-01,재고전망,102.0
충북,2020-12-01,재고전망,98.0
전국,2020-12-01,설비투자현황,98.0
서울,2020-12-01,설비투자현황,98.0
부산,2020-12-01,설비투자현황,97.0
대구,2020-12-01,설비투자현황,95.0
인천,2020-12-01,설비투자현황,99.0
광주,2020-12-01,설비투자현황,99.0
대전,2020-12-01,설비투자현황,111.0
울산,2020-12-01,설비투자현황,103.0
강원,2020-12-01,설비투자현황,100.0
경기,2020-12-01,설비투자현황,96.0
경남,2020-12-01,설비투자현황,96.0
경북,2020-12-01,설비투자현황,96.0
전남,2020-12-01,설비투자현황,96.0
전북,2020-12-01,설비투자현황,98.0
충남,2020-12-01,설비투자현황,102.0
충북,2020-12-01,설비투자현황,96.0
전국,2020-12-01,설비투자전망,97.0
서울,2020-12-01,설비투자전망,94.0
부산,2020-12-01,설비투자전망,100.0
대구,2020-12-01,설비투자전망,96.0
인천,2020-12-01,설비투자전망,98.0
광주,2020-12-01,설비투자전망,99.0
대전,2020-12-01,설비투자전망,102.0
울산,2020-12-01,설비투자전망,99.0
강원,2020-12-01,설비투자전망,95.0
경기,2020-12-01,설비투자전망,96.0
경남,2020-12-01,설비투자전망,96.0
경북,2020-12-01,설비투자전망,96.0
전남,2020-12-01,설비투자전망,92.0
전북,2020-12-01,설비투자전망,96.0
충남,2020-12-01,설비투자전망,99.0
충북,2020-12-01,설비투자전망,98.0
전국,2020-12-01,설비가동률현황,95.0
서울,2020-12-01,설비가동률현황,92.0
부산,2020-12-01,설비가동률현황,91.0
대구,2020-12-01,설비가동률현황,78.0
인천,2020-12-01,설비가동률현황,94.0
광주,2020-12-01,설비가동률현황,104.0
대전,2020-12-01,설비가동률현황,109.0
울산,2020-12-01,설비가동률현황,105.0
강원,2020-12-01,설비가동률현황,112.0
경기,2020-12-01,설비가동률현황,92.0
경남,2020-12-01,설비가동률현황,94.0
경북,2020-12-01,설비가동률현황,94.0
전남,2020-12-01,설비가동률현황,95.0
전북,2020-12-01,설비가동률현황,102.0
충남,2020-12-01,설비가동률현황,101.0
충북,2020-12-01,설비가동률현황,91.0
전국,2020-12-01,설비가동률전망,92.0
서울,2020-12-01,설비가동률전망,84.0
부산,2020-12-01,설비가동률전망,97.0
대구,2020-12-01,설비가동률전망,83.0
인천,2020-12-01,설비가동률전망,88.0
광주,2020-12-01,설비가동률전망,86.0
대전,2020-12-01,설비가동률전망,91.0
울산,2020-12-01,설비가동률전망,96.0
강원,2020-12-01,설비가동률전망,100.0
경기,2020-12-01,설비가동률전망,91.0
경남,2020-12-01,설비가동률전망,92.0
경북,2020-12-01,설비가동률전망,93.0
전남,2020-12-01,설비가동률전망,90.0
전북,2020-12-01,설비가동률전망,94.0
충남,2020-12-01,설비가동률전망,97.0
충북,2020-12-01,설비가동률전망,94.0
전국,2020-12-01,고용현황,97.0
서울,2020-12-01,고용현황,96.0
부산,2020-12-01,고용현황,93.0
대구,2020-12-01,고용현황,88.0
인천,2020-12-01,고용현황,96.0
