month,region,power_kwh_industry,power_kwh_total,prod_index,temp_avg,precipitation,export_amount,util_rate,indicator,value
2020-09-01,경북,"2,357,528,894 ","3,553,152,078 ",103.9,19.7,165.9,26090784,73.7,설비투자현황,97.0
2020-09-01,경북,"2,357,528,894 ","3,553,152,078 ",103.9,19.7,165.9,26090784,73.7,설비가동률현황,91.0
2020-09-01,경북,"2,357,528,894 ","3,553,152,078 ",103.9,19.7,165.9,26090784,73.7,고용현황,94.0
2020-09-01,경북,"2,357,528,894 ","3,553,152,078 ",103.9,19.7,165.9,26090784,73.7,원자재가격현황,109.0
2020-09-01,경북,"2,357,528,894 ","3,553,152,078 ",103.9,19.7,165.9,26090784,73.7,제품가격현황,98.0
2020-09-01,경북,"2,357,528,894 ","3,553,152,078 ",103.9,19.7,165.9,26090784,73.7,경상이익현황,81.0
2020-09-01,경북,"2,357,528,894 ","3,553,152,078 ",103.9,19.7,165.9,26090784,73.7,자금사정현황,81.0
2020-09-01,경북,"2,357,528,894 ","3,553,152,078 ",103.9,19.7,165.9,26090784,73.7,부가가치비중 (%),8.0
2020-09-01,광주,"266,309,128 ","810,365,666 ",110.6,21.3,178.3,9951938,73.7,시황현황,86.0
2020-09-01,광주,"266,309,128 ","810,365,666 ",110.6,21.3,178.3,9951938,73.7,매출액현황,88.0
2020-09-01,광주,"266,309,128 ","810,365,666 ",110.6,21.3,178.3,9951938,73.7,국내시장출하현황,91.0
2020-09-01,광주,"266,309,128 ","810,365,666 ",110.6,21.3,178.3,9951938,73.7,수출현황,102.0
2020-09-01,광주,"266,309,128 ","810,365,666 ",110.6,21.3,178.3,9951938,73.7,재고현황,100.0
2020-09-01,광주,"266,309,128 ","810,365,666 ",110.6,21.3,178.3,9951938,73.7,설비투자현황,101.0
2020-09-01,광주,"266,309,128 ","810,365,666 ",110.6,21.3,178.3,9951938,73.7,설비가동률현황,90.0
2020-09-01,광주,"266,309,128 ","810,365,666 ",110.6,21.3,178.3,9951938,73.7,고용현황,96.0
2020-09-01,광주,"266,309,128 ","810,365,666 ",110.6,21.3,178.3,9951938,73.7,원자재가격현황,109.0
2020-09-01,광주,"266,309,128 ","810,365,666 ",110.6,21.3,178.3,9951938,73.7,제품가격현황,100.0
2020-09-01,광주,"266,309,128 ","810,365,666 ",110.6,21.3,178.3,9951938,73.7,경상이익현황,88.0
2020-09-01,광주,"266,309,128 ","810,365,666 ",110.6,21.3,178.3,9951938,73.7,자금사정현황,81.0
2020-09-01,광주,"266,309,128 ","810,365,666 ",110.6,21.3,178.3,9951938,73.7,부가가치비중 (%),2.0
2020-09-01,대구,"524,924,074 ","1,398,370,132 ",103.7,21.2,161.0,4490052,73.7,시황현황,72.0
2020-09-01,대구,"524,924,074 ","1,398,370,132 ",103.7,21.2,161.0,4490052,73.7,매출액현황,73.0
2020-09-01,대구,"524,924,074 ","1,398,370,132 ",103.7,21.2,161.0,4490052,73.7,국내시장출하현황,73.0
2020-09-01,대구,"524,924,074 ","1,398,370,132 ",103.7,21.2,161.0,4490052,73.7,수출현황,80.0
2020-09-01,대구,"524,924,074 ","1,398,370,132 ",103.7,21.2,161.0,4490052,73.7,재고현황,102.0
2020-09-01,대구,"524,924,074 ","1,398,370,132 ",103.7,21.2,161.0,4490052,73.7,설비투자현황,95.0
2020-09-01,대구,"524,924,074 ","1,398,370,132 ",103.7,21.2,161.0,4490052,73.7,설비가동률현황,82.0
2020-09-01,대구,"524,924,074 ","1,398,370,132 ",103.7,21.2,161.0,4490052,73.7,고용현황,92.0
2020-09-01,대구,"524,924,074 ","1,398,370,132 ",103.7,21.2,161.0,4490052,73.7,원자재가격현황,105.0
2020-09-01,대구,"524,924,074 ","1,398,370,132 ",103.7,21.2,161.0,4490052,73.7,제품가격현황,95.0
2020-09-01,대구,"524,924,074 ","1,398,370,132 ",103.7,21.2,161.0,4490052,73.7,경상이익현황,73.0
2020-09-01,대구,"524,924,074 ","1,398,370,132 ",103.7,21.2,161.0,4490052,73.7,자금사정현황,69.0
2020-09-01,대구,"524,924,074 ","1,398,370,132 ",103.7,21.2,161.0,4490052,73.7,부가가치비중 (%),2.0
2020-09-01,대전,"272,898,907 ","873,979,341 ",102.4,21.2,173.6,3652084,73.7,시황현황,69.0
2020-09-01,대전,"272,898,907 ","873,979,341 ",102.4,21.2,173.6,3652084,73.7,매출액현황,78.0
2020-09-01,대전,"272,898,907 ","873,979,341 ",102.4,21.2,173.6,3652084,73.7,국내시장출하현황,74.0
2020-09-01,대전,"272,898,907 ","873,979,341 ",102.4,21.2,173.6,3652084,73.7,수출현황,83.0
2020-09-01,대전,"272,898,907 ","873,979,341 ",102.4,21.2,173.6,3652084,73.7,재고현황,102.0
2020-09-01,대전,"272,898,907 ","873,979,341 ",102.4,21.2,173.6,3652084,73.7,설비투자현황,100.0
2020-09-01,대전,"272,898,907 ","873,979,341 ",102.4,21.2,173.6,3652084,73.7,설비가동률현황,87.0
2020-09-01,대전,"272,898,907 ","873,979,341 ",102.4,21.2,173.6,3652084,73.7,고용현황,100.0
2020-09-01,대전,"272,898,907 ","873,979,341 ",102.4,21.2,173.6,3652084,73.7,원자재가격현황,109.0
2020-09-01,대전,"272,898,907 ","873,979,341 ",102.4,21.2,173.6,3652084,73.7,제품가격현황,100.0
2020-09-01,대전,"272,898,907 ","873,979,341 ",102.4,21.2,173.6,3652084,73.7,경상이익현황,81.0
2020-09-01,대전,"272,898,907 ","873,979,341 ",102.4,21.2,173.6,3652084,73.7,자금사정현황,89.0
2020-09-01,대전,"272,898,907 ","873,979,341 ",102.4,21.2,173.6,3652084,73.7,부가가치비중 (%),1.0
2020-09-01,부산,"739,565,840 ","1,944,266,577 ",99.4,21.9,230.5,8291741,73.7,시황현황,76.0
2020-09-01,부산,"739,565,840 ","1,944,266,577 ",99.4,21.9,230.5,8291741,73.7,매출액현황,72.0
2020-09-01,부산,"739,565,840 ","1,944,266,577 ",99.4,21.9,230.5,8291741,73.7,국내시장출하현황,73.0
2020-09-01,부산,"739,565,840 ","1,944,266,577 ",99.4,21.9,230.5,8291741,73.7,수출현황,84.0
2020-09-01,부산,"739,565,840 ","1,944,266,577 ",99.4,21.9,230.5,8291741,73.7,재고현황,100.0
2020-09-01,부산,"739,565,840 ","1,944,266,577 ",99.4,21.9,230.5,8291741,73.7,설비투자현황,99.0
2020-09-01,부산,"739,565,840 ","1,944,266,577 ",99.4,21.9,230.5,8291741,73.7,설비가동률현황,88.0
2020-09-01,부산,"739,565,840 ","1,944,266,577 ",99.4,21.9,230.5,8291741,73.7,고용현황,96.0
2020-09-01,부산,"739,565,840 ","1,944,266,577 ",99.4,21.9,230.5,8291741,73.7,원자재가격현황,104.0
2020-09-01,부산,"739,565,840 ","1,944,266,577 ",99.4,21.9,230.5,8291741,73.7,제품가격현황,97.0
2020-09-01,부산,"739,565,840 ","1,944,266,577 ",99.4,21.9,230.5,8291741,73.7,경상이익현황,77.0
2020-09-01,부산,"739,565,840 ","1,944,266,577 ",99.4,21.9,230.5,8291741,73.7,자금사정현황,74.0
2020-09-01,부산,"739,565,840 ","1,944,266,577 ",99.4,21.9,230.5,8291741,73.7,부가가치비중 (%),2.0
2020-09-01,서울,"437,418,229 ","4,284,345,953 ",111.3,21.4,181.5,38028787,73.7,시황현황,72.0
2020-09-01,서울,"437,418,229 ","4,284,345,953 ",111.3,21.4,181.5,38028787,73.7,매출액현황,73.0
2020-09-01,서울,"437,418,229 ","4,284,345,953 ",111.3,21.4,181.5,38028787,73.7,국내시장출하현황,73.0
2020-09-01,서울,"437,418,229 ","4,284,345,953 ",111.3,21.4,181.5,38028787,73.7,수출현황,72.0
2020-09-01,서울,"437,418,229 ","4,284,345,953 ",111.3,21.4,181.5,38028787,73.7,재고현황,107.0
2020-09-01,서울,"437,418,229 ","4,284,345,953 ",111.3,21.4,181.5,38028787,73.7,설비투자현황,91.0
2020-09-01,서울,"437,418,229 ","4,284,345,953 ",111.3,21.4,181.5,38028787,73.7,설비가동률현황,76.0
2020-09-01,서울,"437,418,229 ","4,284,345,953 ",111.3,21.4,181.5,38028787,73.7,고용현황,88.0
2020-09-01,서울,"437,418,229 ","4,284,345,953 ",111.3,21.4,181.5,38028787,73.7,원자재가격현황,106.0
2020-09-01,서울,"437,418,229 ","4,284,345,953 ",111.3,21.4,181.5,38028787,73.7,제품가격현황,96.0
2020-09-01,서울,"437,418,229 ","4,284,345,953 ",111.3,21.4,181.5,38028787,73.7,경상이익현황,74.0
2020-09-01,서울,"437,418,229 ","4,284,345,953 ",111.3,21.4,181.5,38028787,73.7,자금사정현황,77.0
2020-09-01,서울,"437,418,229 ","4,284,345,953 ",111.3,21.4,181.5,38028787,73.7,부가가치비중 (%),2.0
2020-09-01,울산,"2,439,862,236 ","2,851,862,670 ",103.8,21.1,243.0,41007879,73.7,시황현황,83.0
2020-09-01,울산,"2,439,862,236 ","2,851,862,670 ",103.8,21.1,243.0,41007879,73.7,매출액현황,80.0
2020-09-01,울산,"2,439,862,236 ","2,851,862,670 ",103.8,21.1,243.0,41007879,73.7,국내시장출하현황,78.0
2020-09-01,울산,"2,439,862,236 ","2,851,862,670 ",103.8,21.1,243.0,41007879,73.7,수출현황,82.0
2020-09-01,울산,"2,439,862,236 ","2,851,862,670 ",103.8,21.1,243.0,41007879,73.7,재고현황,97.0
2020-09-01,울산,"2,439,862,236 ","2,851,862,670 ",103.8,21.1,243.0,41007879,73.7,설비투자현황,98.0
2020-09-01,울산,"2,439,862,236 ","2,851,862,670 ",103.8,21.1,243.0,41007879,73.7,설비가동률현황,83.0
2020-09-01,울산,"2,439,862,236 ","2,851,862,670 ",103.8,21.1,243.0,41007879,73.7,고용현황,93.0
2020-09-01,울산,"2,439,862,236 ","2,851,862,670 ",103.8,21.1,243.0,41007879,73.7,원자재가격현황,106.0
2020-09-01,울산,"2,439,862,236 ","2,851,862,670 ",103.8,21.1,243.0,41007879,73.7,제품가격현황,103.0
2020-09-01,울산,"2,439,862,236 ","2,851,862,670 ",103.8,21.1,243.0,41007879,73.7,경상이익현황,81.0
2020-09-01,울산,"2,439,862,236 ","2,851,862,670 ",103.8,21.1,243.0,41007879,73.7,자금사정현황,80.0
2020-09-01,울산,"2,439,862,236 ","2,851,862,670 ",103.8,21.1,243.0,41007879,73.7,부가가치비중 (%),9.0
2020-09-01,인천,"1,091,764,491 ","2,112,103,170 ",107.7,21.3,167.7,27753632,73.7,시황현황,79.0
2020-09-01,인천,"1,091,764,491 ","2,112,103,170 ",107.7,21.3,167.7,27753632,73.7,매출액현황,83.0
2020-09-01,인천,"1,091,764,491 ","2,112,103,170 ",107.7,21.3,167.7,27753632,73.7,국내시장출하현황,79.0
2020-09-01,인천,"1,091,764,491 ","2,112,103,170 ",107.7,21.3,167.7,27753632,73.7,수출현황,103.0
2020-09-01,인천,"1,091,764,491 ","2,112,103,170 ",107.7,21.3,167.7,27753632,73.7,재고현황,102.0
2020-09-01,인천,"1,091,764,491 ","2,112,103,170 ",107.7,21.3,167.7,27753632,73.7,설비투자현황,99.0
2020-09-01,인천,"1,091,764,491 ","2,112,103,170 ",107.7,21.3,167.7,27753632,73.7,설비가동률현황,84.0
2020-09-01,인천,"1,091,764,491 ","2,112,103,170 ",107.7,21.3,167.7,27753632,73.7,고용현황,94.0
2020-09-01,인천,"1,091,764,491 ","2,112,103,170 ",107.7,21.3,167.7,27753632,73.7,원자재가격현황,107.0
2020-09-01,인천,"1,091,764,491 ","2,112,103,170 ",107.7,21.3,167.7,27753632,73.7,제품가격현황,93.0
2020-09-01,인천,"1,091,764,491 ","2,112,103,170 ",107.7,21.3,167.7,27753632,73.7,경상이익현황,77.0
2020-09-01,인천,"1,091,764,491 ","2,112,103,170 ",107.7,21.3,167.7,27753632,73.7,자금사정현황,75.0
2020-09-01,인천,"1,091,764,491 ","2,112,103,170 ",107.7,21.3,167.7,27753632,73.7,부가가치비중 (%),3.0
2020-09-01,전남,"1,765,403,380 ","2,789,449,409 ",104.8,21.4,229.3,20000659,73.7,시황현황,84.0
2020-09-01,전남,"1,765,403,380 ","2,789,449,409 ",104.8,21.4,229.3,20000659,73.7,매출액현황,79.0
2020-09-01,전남,"1,765,403,380 ","2,789,449,409 ",104.8,21.4,229.3,20000659,73.7,국내시장출하현황,80.0
2020-09-01,전남,"1,765,403,380 ","2,789,449,409 ",104.8,21.4,229.3,20000659,73.7,수출현황,102.0
2020-09-01,전남,"1,765,403,380 ","2,789,449,409 ",104.8,21.4,229.3,20000659,73.7,재고현황,105.0
2020-09-01,전남,"1,765,403,380 ","2,789,449,409 ",104.8,21.4,229.3,20000659,73.7,설비투자현황,95.0
2020-09-01,전남,"1,765,403,380 ","2,789,449,409 ",104.8,21.4,229.3,20000659,73.7,설비가동률현황,87.0
2020-09-01,전남,"1,765,403,380 ","2,789,449,409 ",104.8,21.4,229.3,20000659,73.7,고용현황,96.0
2020-09-01,전남,"1,765,403,380 ","2,789,449,409 ",104.8,21.4,229.3,20000659,73.7,원자재가격현황,109.0
2020-09-01,전남,"1,765,403,380 ","2,789,449,409 ",104.8,21.4,229.3,20000659,73.7,제품가격현황,99.0
2020-09-01,전남,"1,765,403,380 ","2,789,449,409 ",104.8,21.4,229.3,20000659,73.7,경상이익현황,78.0
2020-09-01,전남,"1,765,403,380 ","2,789,449,409 ",104.8,21.4,229.3,20000659,73.7,자금사정현황,80.0
2020-09-01,전남,"1,765,403,380 ","2,789,449,409 ",104.8,21.4,229.3,20000659,73.7,부가가치비중 (%),7.0
2020-09-01,전북,"969,724,869 ","1,803,285,044 ",105.9,20.1,197.8,4221217,73.7,시황현황,85.0
2020-09-01,전북,"969,724,869 ","1,803,285,044 ",105.9,20.1,197.8,4221217,73.7,매출액현황,83.0
2020-09-01,전북,"969,724,869 ","1,803,285,044 ",105.9,20.1,197.8,4221217,73.7,국내시장출하현황,83.0
2020-09-01,전북,"969,724,869 ","1,803,285,044 ",105.9,20.1,197.8,4221217,73.7,수출현황,87.0
2020-09-01,전북,"969,724,869 ","1,803,285,044 ",105.9,20.1,197.8,4221217,73.7,재고현황,95.0
2020-09-01,전북,"969,724,869 ","1,803,285,044 ",105.9,20.1,197.8,4221217,73.7,설비투자현황,98.0
2020-09-01,전북,"969,724,869 ","1,803,285,044 ",105.9,20.1,197.8,4221217,73.7,설비가동률현황,86.0
2020-09-01,전북,"969,724,869 ","1,803,285,044 ",105.9,20.1,197.8,4221217,73.7,고용현황,98.0
2020-09-01,전북,"969,724,869 ","1,803,285,044 ",105.9,20.1,197.8,4221217,73.7,원자재가격현황,111.0
2020-09-01,전북,"969,724,869 ","1,803,285,044 ",105.9,20.1,197.8,4221217,73.7,제품가격현황,97.0
2020-09-01,전북,"969,724,869 ","1,803,285,044 ",105.9,20.1,197.8,4221217,73.7,경상이익현황,81.0
2020-09-01,전북,"969,724,869 ","1,803,285,044 ",105.9,20.1,197.8,4221217,73.7,자금사정현황,85.0
2020-09-01,전북,"969,724,869 ","1,803,285,044 ",105.9,20.1,197.8,4221217,73.7,부가가치비중 (%),2.0
2020-09-01,충남,"3,337,858,991 ","4,363,186,846 ",109.7,20.4,192.0,57097128,73.7,시황현황,86.0
2020-09-01,충남,"3,337,858,991 ","4,363,186,846 ",109.7,20.4,192.0,57097128,73.7,매출액현황,85.0
2020-09-01,충남,"3,337,858,991 ","4,363,186,846 ",109.7,20.4,192.0,57097128,73.7,국내시장출하현황,90.0
2020-09-01,충남,"3,337,858,991 ","4,363,186,846 ",109.7,20.4,192.0,57097128,73.7,수출현황,81.0
2020-09-01,충남,"3,337,858,991 ","4,363,186,846 ",109.7,20.4,192.0,57097128,73.7,재고현황,102.0
2020-09-01,충남,"3,337,858,991 ","4,363,186,846 ",109.7,20.4,192.0,57097128,73.7,설비투자현황,100.0
2020-09-01,충남,"3,337,858,991 ","4,363,186,846 ",109.7,20.4,192.0,57097128,73.7,설비가동률현황,96.0
2020-09-01,충남,"3,337,858,991 ","4,363,186,846 ",109.7,20.4,192.0,57097128,73.7,고용현황,97.0
2020-09-01,충남,"3,337,858,991 ","4,363,186,846 ",109.7,20.4,192.0,57097128,73.7,원자재가격현황,105.0
2020-09-01,충남,"3,337,858,991 ","4,363,186,846 ",109.7,20.4,192.0,57097128,73.7,제품가격현황,100.0
2020-09-01,충남,"3,337,858,991 ","4,363,186,846 ",109.7,20.4,192.0,57097128,73.7,경상이익현황,89.0
2020-09-01,충남,"3,337,858,991 ","4,363,186,846 ",109.7,20.4,192.0,57097128,73.7,자금사정현황,86.0
2020-09-01,충남,"3,337,858,991 ","4,363,186,846 ",109.7,20.4,192.0,57097128,73.7,부가가치비중 (%),13.0
2020-09-01,충북,"1,600,656,751 ","2,307,863,365 ",112.1,19.3,166.0,17736508,73.7,시황현황,81.0
2020-09-01,충북,"1,600,656,751 ","2,307,863,365 ",112.1,19.3,166.0,17736508,73.7,매출액현황,81.0
2020-09-01,충북,"1,600,656,751 ","2,307,863,365 ",112.1,19.3,166.0,17736508,73.7,국내시장출하현황,83.0
2020-09-01,충북,"1,600,656,751 ","2,307,863,365 ",112.1,19.3,166.0,17736508,73.7,수출현황,93.0
2020-09-01,충북,"1,600,656,751 ","2,307,863,365 ",112.1,19.3,166.0,17736508,73.7,재고현황,103.0
2020-09-01,충북,"1,600,656,751 ","2,307,863,365 ",112.1,19.3,166.0,17736508,73.7,설비투자현황,96.0
2020-09-01,충북,"1,600,656,751 ","2,307,863,365 ",112.1,19.3,166.0,17736508,73.7,설비가동률현황,90.0
2020-09-01,충북,"1,600,656,751 ","2,307,863,365 ",112.1,19.3,166.0,17736508,73.7,고용현황,100.0
2020-09-01,충북,"1,600,656,751 ","2,307,863,365 ",112.1,19.3,166.0,17736508,73.7,원자재가격현황,107.0
2020-09-01,충북,"1,600,656,751 ","2,307,863,365 ",112.1,19.3,166.0,17736508,73.7,제품가격현황,95.0
2020-09-01,충북,"1,600,656,751 ","2,307,863,365 ",112.1,19.3,166.0,17736508,73.7,경상이익현황,78.0
2020-09-01,충북,"1,600,656,751 ","2,307,863,365 ",112.1,19.3,166.0,17736508,73.7,자금사정현황,81.0
2020-09-01,충북,"1,600,656,751 ","2,307,863,365 ",112.1,19.3,166.0,17736508,73.7,부가가치비중 (%),5.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,시황현황,109.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,시황전망,100.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,매출액현황,118.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,매출액전망,102.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,국내시장출하현황,112.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,국내시장출하전망,100.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,수출현황,105.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,수출전망,107.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,재고현황,97.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,재고전망,100.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,설비투자현황,100.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,설비투자전망,95.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,설비가동률현황,112.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,설비가동률전망,100.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,고용현황,91.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,고용전망,95.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,원자재가격현황,100.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,원자재가격전망,100.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,제품가격현황,97.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,제품가격전망,95.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,경상이익현황,112.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,경상이익전망,98.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,자금사정현황,103.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,자금사정전망,100.0
2020-12-01,강원,"574,796,537 ","1,495,982,143 ",105.1,-3.2,4.2,2023271,74.0,부가가치비중 (%),1.0
2020-12-01,경기,"6,144,981,119 ","11,253,913,659 ",114.9,-0.8,5.5,115156583,74.0,시황현황,87.0
2020-12-01,경기,"6,144,981,119 ","11,253,913,659 ",114.9,-0.8,5.5,115156583,74.0,시황전망,88.0
2020-12-01,경기,"6,144,981,119 ","11,253,913,659 ",114.9,-0.8,5.5,115156583,74.0,매출액현황,88.0
2020-12-01,경기,"6,144,981,119 ","11,253,913,659 ",114.9,-0.8,5.5,115156583,74.0,매출액전망,89.0
2020-12-01,경기,"6,144,981,119 ","11,253,913,659 ",114.9,-0.8,5.5,115156583,74.0,국내시장출하현황,88.0
2020-12-01,경기,"6,144,981,119 ","11,253,913,659 ",114.9,-0.8,5.5,115156583,74.0,국내시장출하전망,90.0
2020-12-01,경기,"6,144,981,119 ","11,253,913,659 ",114.9,-0.8,5.5,115156583,74.0,수출현황,89.0
2020-12-01,경기,"6,144,981,119 ","11,253,913,659 ",114.9,-0.8,5.5,115156583,74.0,수출전망,90.0
